"","xgboost","cubist","deepLearning","rf","LSTM","avg","median"
"1",-25,-15,NA,-10,NA,-25,NA
"2",NA,15,NA,NA,-15,NA,NA
"3",NA,NA,30,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,-25,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,0,NA,NA,NA,NA
"8",NA,-10,-10,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA
"10",0,-10,NA,NA,-10,0,NA
"11",NA,NA,-15,NA,15,NA,-20
"12",NA,-10,NA,5,5,5,NA
"13",10,NA,-20,10,NA,-20,NA
"14",-15,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,0
"17",NA,-30,NA,NA,NA,-30,NA
"18",NA,NA,10,NA,10,NA,-30
"19",20,NA,NA,NA,-20,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA
"21",NA,-30,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,30,NA,NA
"24",-10,20,-30,10,-30,-10,-30
"25",30,NA,NA,NA,-25,NA,NA
"26",NA,NA,NA,NA,-5,NA,NA
"27",10,-5,NA,NA,10,10,-30
"28",NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,-25,NA,-25,-25,NA
"30",-30,-25,NA,NA,NA,NA,NA
"31",20,NA,5,NA,15,20,-20
"32",-15,-15,NA,NA,NA,-15,NA
"33",20,25,NA,NA,NA,25,-15
"34",NA,NA,NA,NA,NA,NA,NA
"35",-20,20,NA,NA,NA,-20,NA
"36",-20,NA,NA,-20,NA,NA,NA
"37",NA,0,NA,NA,0,NA,5
"38",NA,NA,NA,NA,15,NA,NA
"39",NA,5,NA,5,0,5,NA
"40",-20,NA,NA,NA,-25,-20,NA
"41",NA,NA,-10,NA,NA,NA,NA
"42",NA,NA,NA,0,NA,NA,NA
"43",NA,15,NA,-20,NA,15,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,15,NA,15,NA
"46",-30,NA,-5,NA,30,-5,-5
"47",NA,NA,NA,5,NA,NA,NA
"48",NA,15,NA,15,NA,NA,NA
"49",20,NA,5,20,NA,20,NA
"50",NA,NA,NA,-5,NA,NA,NA
"51",NA,15,NA,25,30,15,NA
"52",NA,NA,20,NA,30,NA,-5
"53",5,-15,NA,-25,NA,-25,NA
"54",NA,NA,NA,NA,NA,NA,0
"55",NA,10,NA,-20,10,10,-25
"56",NA,-25,NA,NA,NA,NA,NA
"57",NA,NA,15,-20,NA,NA,NA
"58",NA,-15,NA,30,NA,-15,NA
"59",-15,-15,NA,-15,NA,-15,NA
"60",-5,NA,NA,-30,NA,-30,NA
"61",NA,5,NA,NA,-5,5,-5
"62",-5,25,NA,-5,-20,-5,-20
"63",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA
"65",-25,NA,NA,NA,NA,NA,NA
"66",-30,-25,-30,25,-30,-30,NA
"67",NA,15,NA,NA,20,15,-20
"68",NA,NA,NA,NA,NA,0,0
"69",NA,-15,NA,20,-20,20,NA
"70",-30,-10,10,-15,-15,-15,NA
"71",-20,-10,-25,-15,NA,-20,NA
"72",-15,-10,NA,-10,-15,-15,NA
"73",NA,15,-5,NA,-15,NA,NA
"74",15,15,-15,10,5,10,-30
"75",-20,-15,NA,10,-20,-15,NA
"76",-15,-15,NA,-30,-25,-30,NA
"77",-15,NA,-15,-10,-30,-15,NA
"78",NA,NA,NA,-15,NA,-15,-10
"79",NA,-15,NA,NA,NA,NA,NA
"80",NA,15,NA,NA,20,15,-25
"81",0,0,NA,25,5,0,-30
"82",-20,NA,NA,-20,-25,-20,NA
"83",NA,NA,20,NA,20,NA,NA
"84",5,30,NA,-15,NA,-15,NA
"85",NA,10,NA,NA,-5,NA,NA
"86",NA,NA,NA,25,NA,NA,NA
"87",15,15,NA,15,15,15,-25
"88",10,10,NA,0,5,10,-30
"89",10,-5,NA,-10,-5,-5,NA
"90",NA,-30,20,0,-5,-30,NA
"91",10,NA,NA,10,NA,NA,NA
"92",-10,-15,-5,-10,-10,-10,NA
"93",NA,NA,NA,25,NA,-25,-25
"94",NA,NA,-30,NA,25,-30,-15
"95",25,15,NA,25,-20,15,-20
"96",NA,-5,-30,0,-10,-30,NA
"97",30,15,NA,10,25,15,-30
"98",25,10,-20,25,-10,10,-15
"99",10,25,NA,20,10,10,-20
"100",15,10,NA,30,30,15,-5
"101",10,0,NA,-5,-5,0,-10
"102",-10,20,NA,20,20,-10,-20
"103",10,-10,NA,0,-20,0,25
"104",-5,-15,30,-5,10,-5,-25
"105",0,20,25,0,15,0,-20
"106",25,NA,NA,-15,25,-15,25
"107",NA,25,15,15,25,15,-5
"108",NA,NA,NA,NA,NA,NA,NA
"109",30,NA,15,NA,NA,-25,-25
"110",NA,NA,NA,NA,NA,NA,NA
"111",25,10,-25,NA,30,-5,-5
"112",NA,NA,NA,20,NA,NA,NA
"113",NA,-15,NA,NA,NA,NA,15
"114",NA,NA,15,NA,30,NA,-5
"115",-15,NA,NA,NA,30,NA,-25
"116",NA,NA,NA,-15,NA,NA,NA
"117",-10,NA,NA,-5,NA,-5,NA
"118",NA,NA,NA,NA,NA,NA,-5
"119",NA,25,NA,-10,NA,10,10
"120",-25,NA,5,-25,-5,-5,-5
"121",NA,-5,NA,-25,NA,NA,NA
"122",NA,-20,-15,-20,-20,-20,-20
"123",-15,15,NA,-20,0,-15,0
"124",NA,-10,NA,-10,-15,-10,-15
"125",NA,NA,NA,NA,NA,NA,NA
"126",5,NA,5,5,25,5,25
"127",15,15,10,NA,15,15,NA
"128",-10,-10,-15,-10,10,-10,10
"129",20,-20,NA,-20,5,-20,0
"130",NA,-30,NA,NA,NA,NA,-30
"131",30,NA,10,5,25,10,25
"132",0,NA,NA,0,20,20,20
"133",10,NA,20,20,20,20,NA
"134",-5,5,-20,-15,5,-5,5
"135",NA,0,NA,NA,20,NA,20
"136",NA,NA,NA,NA,NA,NA,NA
"137",NA,0,NA,0,20,20,20
"138",10,NA,NA,10,30,10,30
"139",NA,NA,NA,NA,NA,NA,NA
"140",25,NA,NA,20,NA,20,NA
"141",NA,NA,NA,NA,30,NA,10
"142",NA,NA,NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,15,15,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,20,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA
"148",NA,-10,NA,NA,-10,NA,10
"149",NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,NA,25,NA,NA,NA
"151",-5,10,NA,0,25,0,NA
"152",5,10,5,25,20,10,20
"153",30,NA,NA,20,NA,NA,NA
"154",30,NA,NA,-10,NA,30,NA
"155",NA,NA,30,NA,NA,NA,NA
"156",NA,NA,NA,15,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,-20,NA,-15,NA,-15
"160",-10,-10,NA,NA,NA,NA,NA
"161",NA,NA,30,NA,NA,NA,NA
"162",-5,-5,NA,NA,NA,NA,NA
"163",-15,-25,20,-15,NA,-15,NA
"164",NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,20,NA,-15
"168",NA,NA,NA,NA,NA,NA,NA
"169",-20,20,20,NA,NA,20,NA
"170",NA,NA,-15,-10,-20,-10,NA
"171",NA,20,NA,NA,-15,-15,-15
"172",NA,-30,-10,NA,NA,-10,10
"173",NA,15,-15,NA,-25,-15,NA
"174",NA,NA,NA,NA,NA,NA,NA
"175",5,0,NA,0,0,0,NA
"176",NA,NA,NA,-15,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,-25,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,-5,10,NA,-5,NA
"187",NA,NA,NA,NA,NA,NA,NA
"188",5,10,NA,5,NA,5,NA
"189",NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,-15,NA,NA,-15,NA
"191",20,NA,NA,15,NA,15,NA
"192",-10,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA
"195",-5,-5,NA,NA,-5,-5,NA
"196",NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,-25,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA
"199",-10,-30,NA,10,NA,-30,NA
"200",NA,NA,NA,-15,NA,NA,NA
"201",-15,-10,NA,15,NA,-15,NA
"202",NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA
"204",NA,-5,NA,NA,-5,-5,NA
"205",NA,25,NA,25,NA,25,NA
"206",NA,NA,NA,NA,NA,NA,20
"207",NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,-25,NA,NA,NA
"209",NA,-20,NA,NA,NA,-20,NA
"210",NA,10,NA,NA,NA,10,NA
"211",NA,5,NA,15,NA,NA,NA
"212",25,15,5,25,NA,15,NA
"213",NA,-30,NA,NA,NA,NA,NA
"214",-15,25,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,-30,-30,-30
"216",NA,20,NA,NA,20,NA,20
"217",NA,NA,NA,NA,NA,NA,15
"218",10,NA,10,20,NA,10,NA
"219",NA,-25,NA,15,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA
"221",-10,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,-20,NA,NA
"224",NA,NA,20,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,20
"226",NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,0,NA,NA,NA
"228",NA,NA,NA,NA,-25,NA,-25
"229",NA,25,NA,NA,NA,NA,NA
"230",NA,NA,-10,10,10,10,10
"231",NA,NA,5,NA,NA,NA,NA
"232",NA,-15,NA,NA,-20,-15,-20
"233",NA,-15,NA,25,-20,-20,-20
"234",10,10,10,NA,-5,10,-15
"235",NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,5,NA,5
"237",-20,0,NA,-25,-20,-20,-20
"238",-15,NA,NA,-15,NA,5,5
"239",NA,-25,NA,NA,NA,NA,5
"240",NA,NA,NA,25,25,NA,25
"241",-20,NA,10,-5,5,-5,-30
"242",-5,0,NA,15,-30,0,15
"243",NA,15,NA,NA,15,15,15
"244",NA,-25,NA,NA,NA,NA,NA
"245",NA,10,NA,25,25,25,25
"246",NA,NA,NA,NA,NA,NA,NA
"247",5,0,NA,NA,NA,NA,NA
"248",5,10,10,10,10,10,NA
"249",-20,-15,NA,-15,-15,-15,NA
"250",5,5,15,10,10,5,NA
"251",NA,NA,-15,NA,NA,NA,0
"252",25,NA,NA,25,NA,25,5
"253",NA,NA,NA,NA,-15,NA,-5
"254",NA,-10,5,NA,NA,5,5
"255",5,NA,NA,NA,NA,NA,NA
"256",-15,10,NA,NA,-10,10,NA
"257",-25,-30,NA,NA,NA,NA,NA
"258",NA,-5,NA,NA,-15,NA,NA
"259",-30,5,0,-30,-30,-30,NA
"260",NA,-15,25,NA,-10,25,NA
"261",-20,-10,25,NA,-20,-20,NA
"262",NA,20,NA,-20,-15,20,NA
"263",20,5,15,NA,0,15,NA
"264",0,30,-30,0,0,0,NA
"265",-10,5,-30,0,-30,-10,-20
"266",-10,20,-5,-20,-15,-10,-15
"267",-10,0,NA,-10,-15,-10,NA
"268",NA,0,-15,NA,-15,0,NA
"269",-30,-30,NA,-25,-30,-30,NA
"270",-15,20,NA,NA,5,20,NA
"271",NA,-20,NA,15,NA,NA,NA
"272",NA,-25,NA,-25,NA,NA,NA
"273",-30,NA,-25,-30,NA,-30,NA
"274",NA,20,NA,NA,NA,NA,NA
"275",0,-5,NA,NA,NA,NA,NA
"276",NA,NA,NA,25,30,25,NA
"277",NA,NA,NA,NA,NA,NA,NA
"278",-25,25,NA,NA,-25,25,NA
"279",NA,-10,-10,10,NA,-10,NA
"280",NA,20,NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,NA,NA
"282",0,-5,NA,-15,NA,-15,NA
"283",25,NA,-30,5,NA,-30,NA
"284",20,0,NA,10,NA,0,NA
"285",NA,NA,25,20,NA,NA,NA
"286",20,20,NA,NA,15,20,-10
"287",-20,NA,NA,-30,NA,NA,NA
"288",5,NA,-5,0,NA,-5,NA
"289",NA,NA,NA,NA,NA,NA,NA
"290",0,-5,NA,-25,NA,-5,NA
"291",15,NA,-25,5,15,5,NA
"292",30,5,20,20,NA,20,NA
"293",-5,-5,NA,-5,NA,-5,NA
"294",NA,NA,NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA,NA,NA
"296",NA,10,NA,20,NA,20,NA
"297",5,-30,-30,-20,NA,-30,NA
"298",NA,NA,15,5,-15,15,NA
"299",NA,15,NA,25,0,25,NA
"300",-5,NA,NA,NA,NA,NA,NA
"301",NA,10,NA,-30,NA,NA,NA
"302",-30,NA,NA,-5,NA,NA,NA
"303",NA,NA,NA,-20,NA,NA,NA
"304",NA,-10,NA,-25,NA,-10,NA
"305",15,NA,NA,15,NA,NA,NA
"306",NA,NA,NA,NA,0,NA,NA
"307",25,NA,NA,20,NA,NA,NA
"308",20,NA,NA,NA,NA,NA,NA
"309",10,NA,NA,NA,NA,NA,NA
"310",NA,NA,NA,NA,NA,NA,NA
"311",5,NA,NA,NA,NA,NA,NA
"312",-25,-25,NA,30,-25,-25,NA
"313",NA,20,NA,-20,20,20,NA
"314",5,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,-20,NA,NA,NA
"316",-15,-10,5,-15,-5,-15,NA
"317",NA,NA,NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,0,10,10
"320",NA,NA,20,NA,NA,NA,NA
"321",5,NA,-10,-15,NA,-15,NA
"322",NA,NA,NA,NA,NA,NA,NA
"323",NA,NA,-15,NA,NA,NA,NA
"324",NA,0,NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,25,NA,-15
"326",NA,NA,NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,0,NA,-10
"329",NA,NA,NA,NA,NA,NA,NA
"330",NA,NA,NA,NA,NA,NA,NA
"331",NA,-30,NA,NA,-30,NA,NA
"332",NA,NA,-15,NA,-5,NA,-20
"333",15,10,NA,15,NA,10,NA
"334",NA,NA,NA,5,NA,5,NA
"335",10,NA,NA,5,NA,5,NA
"336",NA,0,NA,-10,NA,NA,NA
"337",NA,-20,-30,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA,NA,NA
"339",5,NA,NA,NA,NA,NA,NA
"340",NA,NA,25,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA
"343",NA,15,NA,NA,NA,15,NA
"344",0,NA,NA,-10,NA,NA,NA
"345",NA,NA,NA,0,25,NA,5
"346",10,5,NA,5,NA,5,NA
"347",NA,-20,NA,-20,-20,-20,NA
"348",NA,NA,NA,NA,-10,NA,NA
"349",NA,25,25,NA,NA,25,NA
"350",NA,NA,NA,NA,NA,NA,NA
"351",NA,NA,NA,10,NA,10,NA
"352",NA,NA,NA,NA,5,NA,NA
"353",NA,NA,NA,NA,-5,NA,NA
"354",NA,NA,NA,NA,NA,NA,NA
"355",-20,-20,NA,NA,-20,-20,NA
"356",NA,NA,5,NA,5,NA,10
"357",NA,NA,NA,NA,NA,NA,NA
"358",-15,NA,NA,15,NA,NA,NA
"359",NA,NA,NA,NA,NA,NA,NA
"360",NA,20,NA,-10,NA,-10,NA
"361",-5,-10,NA,NA,NA,-10,NA
"362",NA,NA,NA,NA,NA,NA,NA
"363",NA,-5,-5,10,NA,-5,NA
"364",0,15,NA,20,NA,0,NA
"365",0,-10,NA,10,NA,-10,NA
